combo_id,label,model,fold,accuracy,f1_macro,auc,horizontal_flip,rotation_range,shift_range,zoom_range,brightness,equalization
1,baseline,resnet50v2,1,0.8524945770065075,0.8474290025065097,0.9214049730481656,False,0,0.0,0.0,False,none
1,baseline,resnet50v2,2,0.8436482084690554,0.8351595903350899,0.9211914597123376,False,0,0.0,0.0,False,none
1,baseline,resnet50v2,3,0.8338762214983714,0.829593977688424,0.9233265316279302,False,0,0.0,0.0,False,none
2,hist,resnet50v2,1,0.8590021691973969,0.8521852801894239,0.9267804357006234,False,0,0.0,0.0,False,hist
2,hist,resnet50v2,2,0.8447339847991314,0.8393899150871262,0.9207037276663514,False,0,0.0,0.0,False,hist
2,hist,resnet50v2,3,0.8588490770901195,0.8543997470571068,0.9312596426616232,False,0,0.0,0.0,False,hist
3,adaptive,resnet50v2,1,0.8535791757049892,0.8477101464170224,0.9250366395906302,False,0,0.0,0.0,False,adaptive
3,adaptive,resnet50v2,2,0.8327904451682954,0.8294444444444444,0.9137087542925396,False,0,0.0,0.0,False,adaptive
3,adaptive,resnet50v2,3,0.8327904451682954,0.8263778717903519,0.9071169063853084,False,0,0.0,0.0,False,adaptive
4,brightness,resnet50v2,1,0.8481561822125814,0.8426812918951858,0.9183545718756988,False,0,0.0,0.0,True,none
4,brightness,resnet50v2,2,0.8512486427795874,0.844192263760689,0.929179316179764,False,0,0.0,0.0,True,none
4,brightness,resnet50v2,3,0.8295331161780674,0.8247600095499292,0.9105758224257204,False,0,0.0,0.0,True,none
5,brightness+hist,resnet50v2,1,0.8524945770065075,0.8445849136114623,0.924584544302854,False,0,0.0,0.0,True,hist
5,brightness+hist,resnet50v2,2,0.8545059717698155,0.8512137841904248,0.928308366097646,False,0,0.0,0.0,True,hist
5,brightness+hist,resnet50v2,3,0.8360477741585234,0.8334050084752361,0.9249788483551484,False,0,0.0,0.0,True,hist
6,brightness+adaptive,resnet50v2,1,0.8600867678958786,0.853675100112569,0.9252602031944754,False,0,0.0,0.0,True,adaptive
6,brightness+adaptive,resnet50v2,2,0.8241042345276873,0.8195061405800887,0.9168267555865228,False,0,0.0,0.0,True,adaptive
6,brightness+adaptive,resnet50v2,3,0.8577633007600435,0.8531055768282512,0.924078037127358,False,0,0.0,0.0,True,adaptive
7,zoom0.1,resnet50v2,1,0.8590021691973969,0.8547362807834011,0.935842213776486,False,0,0.0,0.1,False,none
7,zoom0.1,resnet50v2,2,0.8393051031487514,0.8351043753447724,0.9289205195839348,False,0,0.0,0.1,False,none
7,zoom0.1,resnet50v2,3,0.8414766558089034,0.835538932701904,0.9198278007266212,False,0,0.0,0.1,False,none
8,zoom0.1+hist,resnet50v2,1,0.8622559652928417,0.857467167687332,0.9314255905805202,False,0,0.0,0.1,False,hist
8,zoom0.1+hist,resnet50v2,2,0.8327904451682954,0.8272457540413342,0.9171402976160852,False,0,0.0,0.1,False,hist
8,zoom0.1+hist,resnet50v2,3,0.8545059717698155,0.8486609113650856,0.9244015328721444,False,0,0.0,0.1,False,hist
9,zoom0.1+adaptive,resnet50v2,1,0.8481561822125814,0.8431949931242924,0.9282410512457461,False,0,0.0,0.1,False,adaptive
9,zoom0.1+adaptive,resnet50v2,2,0.8349619978284474,0.8300226325656392,0.9167769870104016,False,0,0.0,0.1,False,adaptive
9,zoom0.1+adaptive,resnet50v2,3,0.8458197611292074,0.8404474917040796,0.9251231772258995,False,0,0.0,0.1,False,adaptive
10,zoom0.1+brightness,resnet50v2,1,0.8655097613882863,0.8599312937071504,0.9329110465260699,False,0,0.0,0.1,True,none
10,zoom0.1+brightness,resnet50v2,2,0.8317046688382194,0.8277239480064347,0.9228487532971682,False,0,0.0,0.1,True,none
10,zoom0.1+brightness,resnet50v2,3,0.8414766558089034,0.8376720266550775,0.9225600955556661,False,0,0.0,0.1,True,none
11,zoom0.1+brightness+hist,resnet50v2,1,0.8438177874186551,0.8384542379480691,0.923029535236108,False,0,0.0,0.1,True,hist
11,zoom0.1+brightness+hist,resnet50v2,2,0.8306188925081434,0.8251419057726197,0.9138953864529935,False,0,0.0,0.1,True,hist
11,zoom0.1+brightness+hist,resnet50v2,3,0.8501628664495114,0.844682712706156,0.9232070870452398,False,0,0.0,0.1,True,hist
